Başlık,Etiketler,Tarih
tr-26-0382-ibm-qiskit-sdk-gvenlik-bildirimi,ibm,2026-06-15 08:27:50.896529
tr-26-0381-misp-gvenlik-zafiyeti,misp,2026-06-15 08:25:41.486864
tr-26-0380-mobatek-mobaxterm-gvenlik-bildirimi,mobaxterm,2026-06-15 08:23:40.393576
tr-26-0379-grafana-operator-gvenlik-bildirimi,grafana,2026-06-15 08:22:05.88943
tr-26-0378-avira-antiviruspassword-manager-gvenlik-bildirimi,avira,2026-06-15 08:19:52.391673
tr-26-0377-yealink-sip-t46u-gvenlik-bildirimi,yealink,2026-06-15 08:11:21.090335
tr-26-0376-cloud-foundry-uaa-gvenlik-bildirimi,foundry,2026-06-12 07:51:17.092255
tr-26-0375-palo-alto-idira-pam-gvenlik-bildirimi-,idira,2026-06-12 07:48:17.792764
tr-26-0374-check-point-identity-agent-gvenlik-bildirimi,check,2026-06-12 07:45:57.600207
tr-26-0373-openclaw-gvenlik-bildirimi,openclaw,2026-06-12 07:43:27.498557
tr-26-0372-mongodb-server-gvenlik-bildirimi,mongodb,2026-06-12 07:39:04.594772
tr-26-0371-axios-http-client-gvenlik-bildirimi,axios,2026-06-12 07:37:29.265335
tr-26-0364-splunk-enterprisecloudsoar-gvenlik-bildirimi,splunk,2026-06-11 07:05:24.198206
tr-26-0363-lenovo-oklu-rn-gvenlik-bildirimi,lenovo,2026-06-11 07:03:02.996992
tr-26-0362-microsoft-pc-manager-gvenlik-bildirimi,microsoft,2026-06-10 08:37:45.10026
tr-26-0361-amd-gvenlik-bildirimi,amd,2026-06-10 08:34:43.090866
tr-26-0360-freeswitch-gvenlik-zafiyeti,freeswitch,2026-06-10 08:32:40.898556
tr-26-0359-veeam-backup-replication-gvenlik-bildirimi,backup,2026-06-10 08:30:23.996248
tr-26-0358-nvidia-dali-gvenlik-bildirimi,nvidia,2026-06-10 08:25:49.69746
tr-26-0357-dell-oklu-rn-gvenlik-bildirimi,dell,2026-06-10 08:23:04.092912
tr-26-0356-espressif-esf-idf-gvenlik-zafiyeti,espressif,2026-06-10 08:21:11.190364
tr-26-0355-openssl-gvenlik-zafiyeti,summary,2026-06-10 08:17:44.895093
tr-26-0354-qnap-operting-systems-gvenlik-bildirimi,qnap,2026-06-10 08:12:03.591435
tr-26-0353-mozilla-firefox-focusklar-gvenlik-bildirimi,klar,2026-06-10 08:07:54.693095
tr-26-0352-linux-kernel-gvenlik-bildirimi,kernel,2026-06-10 08:03:35.896666
tr-26-0351-netgear-oklu-rn-gvenlik-bildirimi,a-netgear-security,2026-06-10 07:59:41.091334
tr-26-0350-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-10 07:54:28.904475
tr-26-0349-adobe-incopy-gvenlik-bildirimi,incopy,2026-06-10 07:51:00.841951
tr-26-0348-adobe-indesign-gvenlik-bildirimi,indesign,2026-06-10 07:49:41.802049
tr-26-0347-adobe-dreamweaver-gvenlik-bildirimi,dreamweaver,2026-06-10 07:45:43.994413
tr-26-0346-sqlite-gvenlik-zafiyeti,sqlite,2026-06-10 07:43:34.294091
tr-26-0345-adobe-coldfusion-gvenlik-bildirimi-,coldfusion,2026-06-10 07:40:45.197417
tr-26-0342-flowise-ai-gvenlik-zafiyeti,flowise,2026-06-09 08:11:53.191259
tr-26-0341-f5-networks-nginx-gvenlik-bildirimi,nginx,2026-06-09 08:08:22.060165
tr-26-0340-apache-http-server-gvenlik-bildirimi,apache,2026-06-09 08:06:21.392598
tr-26-0339-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-09 08:01:37.302669
tr-26-0338-qnap-os-gvenlik-bildirimi,qnap,2026-06-09 08:00:21.288224
tr-26-0337-sap-oklu-rn-gvenlik-bildirimi,sap,2026-06-09 07:57:45.499555
tr-26-0336-google-chrome-gvenlik-bildirimi,chrome,2026-06-09 07:54:08.539451
tr-26-0335-comodo-internet-security-gvenlik-bildirimi,comodo,2026-06-08 08:35:33.487526
tr-26-0334-altium-enterprise-server365-gvenlik-bildirimi,altium,2026-06-08 08:33:23.70081
tr-26-0333-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-08 08:31:03.221303
tr-26-0332-hcl-digital-experiencecompose-gvenlik-bildirimi,hcl,2026-06-08 08:29:05.998719
tr-26-0331-teltonika-networks-rutos-gvenlik-zafiyeti,teltonika,2026-06-08 08:27:02.950742
tr-26-0330-gl-inet-mt3000-gvenlik-zafiyeti,gl-inet,2026-06-08 08:23:47.305158
tr-26-0329-markdown-preview-enhanced-gvenlik-zafiyeti,markdown,2026-06-08 08:21:00.691616
tr-26-0328-7-zip-gvenlik-zafiyeti,7-zip,2026-06-08 08:18:32.953043
tr-26-0327-samsung-oklu-rn-gvenlik-bildirimi,samsung,2026-06-08 08:16:07.199351
tr-26-0326-termix-gvenlik-zafiyeti,termix,2026-06-08 08:13:29.866186
tr-26-0325-riello-netman-204-gvenlik-zafiyeti,netman,2026-06-08 08:11:20.103482
tr-26-0320-forcepoint-vpn-gvenlik-bildirimi,forcepoint,2026-06-05 07:32:51.400998
tr-26-0319-redhat-openshift-gvenlik-bildirimi,openshift,2026-06-05 07:30:18.801263
tr-26-0318-osnexus-quantastor-sds-manager-gvenlik-zafiyeti,osnexus,2026-06-05 07:29:12.796147
tr-26-0317-cisco-catalyst-sd-wan-manager-gvenlik-bildirimi,cisco,2026-06-05 07:23:21.999718
tr-26-0316-microsoft-oklu-rn-gvenlik-bildirimi,microsoft,2026-06-05 07:21:31.925538
tr-26-0315-hcl-icontrol-gvenlik-bildirimi,hcl,2026-06-05 07:18:19.002707
tr-26-0314-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-05 07:16:53.510658
tr-26-0313-samsung-open-source-rlottie-gvenlik-bildirimi,samsung,2026-06-05 07:13:44.898114
tr-26-0312-mobatek-mobaxterm-gvenlik-bildirimi,mobaxterm,2026-06-05 07:11:24.461
tr-26-0311-arista-eos-gvenlik-bildirimi,arista,2026-06-05 07:09:18.998983
tr-26-0308-acer-connect-m6e-router-gvenlik-bildirimi,esim,2026-06-04 08:20:28.069566
tr-26-0307-django-gvenlik-zafiyeti,django,2026-06-04 08:16:32.073563
tr-26-0306-synology-hyper-backup-gvenlik-bildirimi,synology,2026-06-04 08:12:57.570067
tr-26-0305-nvidia-nvtabular-gvenlik-bildirimi,nvidia,2026-06-04 08:10:42.571727
tr-26-0304-solarwinds-web-help-desk-gvenlik-bildirimi,solarwinds,2026-06-04 08:07:48.470091
tr-26-0303-react-router-gvenlik-zafiyeti-,react,2026-06-04 08:05:37.070144
tr-26-0302-opentelemetry-gvenlik-bildirimi-,opentelemetry,2026-06-04 08:03:33.869665
tr-26-0301-librechat-gvenlik-zafiyeti,librechat,2026-06-04 07:59:28.672095
tr-26-0300-playstation-4-firmware-gvenlik-zafiyeti,playstation,2026-06-04 07:55:31.670053
tr-26-0299-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-04 07:53:29.673962
tr-26-0297-hitachi-vantara-pentaho-data-integration-analytics-gvenlik-bildirimi,hitachi,2026-06-02 08:13:46.641759
tr-26-0296-oracle-oklu-rn-gvenlik-bildirimi,oracle,2026-06-02 08:07:54.932458
tr-26-0295-kibana-gvenlik-bildirimi,kibana,2026-06-02 08:04:29.928983
tr-26-0294-microsoft-office-sharepoint-gvenlik-bildirimi,microsoft,2026-06-02 08:01:03.93182
tr-26-0293-acer-connect-w6x-gvenlik-zafiyeti,mqtt,2026-06-02 07:57:04.432428
tr-26-0292-ibm-oklu-rn-gvenlik-bildirimi,ibm,2026-06-02 07:52:12.534599
tr-26-0291-asus-gvenlik-bildirimi-,asus,2026-06-02 07:47:27.829561
tr-26-0290-linux-kernel-gvenlik-bildirimi,kernel,2026-06-02 07:45:01.031584
tr-26-0289-google-chrome-gvenlik-bildirimi,chrome,2026-06-02 07:43:46.228473
tr-26-0288-dassault-systemes-3dexperience-gvenlik-bildirimi,3dexperience,2026-06-02 07:41:06.437355
tr-26-0287-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-06-02 07:38:58.935289
tr-26-0283-esri-arcgis-gvenlik-bildirimi,arcgis,2026-05-21 07:44:06.352169
tr-26-0282-open5gs-gvenlik-zafiyeti,open5gs,2026-05-21 07:42:43.837397
tr-26-0281-traefik-proxy-gvenlik-zafiyeti,traefik,2026-05-21 07:40:07.931065
tr-26-0280-nvidia-oklu-rn-gvenlik-bildirimi,nvidia,2026-05-21 07:38:41.139973
tr-26-0279-google-chrome-gvenlik-bildirimi,chrome,2026-05-21 07:36:19.65068
tr-26-0278-open-webui-gvenlik-bildirimi,webui,2026-05-21 07:31:48.3691
tr-26-0277-cisco-oklu-rn-gvenlik-bildirimi,cisco,2026-05-21 07:28:37.736341
tr-26-0276-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-05-21 07:23:26.950545
tr-26-0274-microsoft-edge-gvenlik-bildirimi,microsoft,2026-05-20 17:43:05.574262
tr-26-0273-samsung-open-source-walrusescargot-gvenlik-bildirimi,samsung,2026-05-20 17:41:41.837412
tr-26-0272-mattermost-uygulama-gvenlik-bildirimi,mattermost,2026-05-20 17:38:59.640842
tr-26-0271-dell-smartfabric-storage-software-gvenlik-bildirimi,dell,2026-05-20 17:37:18.946633
tr-26-0270-red-hat-keycloak-gvenlik-bildirimi,keycloak,2026-05-20 17:36:03.434453
tr-26-0269-openharmony-gvenlik-zafiyeti,openharmony,2026-05-20 17:34:25.752781
tr-26-0268-edimax-br-6428ns-gvenlik-zafiyeti,edimax,2026-05-20 17:31:50.13524
tr-26-0267-hcl-oklu-rn-gvenlik-bildirimi,hcl,2026-05-20 17:29:03.734937
tr-26-0266-broadcom-automic-automation-agent-gvenlik-bildirimi,broadcom,2026-05-20 17:22:01.057855
tr-26-0265-nvidia-trt-llmtriton-inference-server-gvenlik-bildirimi,nvidia,2026-05-20 17:19:35.339356
tr-26-0264-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-05-20 17:14:03.248613
tr-26-0261-apache-ofbiz-gvenlik-bildirimi,apache,2026-05-20 08:16:01.245278
tr-26-0260-drupal-gvenlik-bildirimi-,drupal,2026-05-20 07:34:23.036704
tr-26-0259-qlik-talend-gvenlik-bildirimi,talend,2026-05-20 07:29:08.977179
tr-26-0257-lenovo-personal-cloud-storage-gvenlik-bildirimi,lenovo,2026-05-15 07:37:59.053564
tr-26-0256-grafana-gvenlik-bildirimi,grafana,2026-05-15 07:33:10.082585
tr-26-0255-misp-gvenlik-zafiyeti,misp,2026-05-15 07:30:22.645282
tr-26-0254-postgresql-gvenlik-zafiyeti,postgresql,2026-05-15 07:28:48.020698
tr-26-0253-elecom-access-point-gvenlik-bildirimi,elecom,2026-05-15 07:24:30.275212
tr-26-0252-pytorch-lightning-gvenlik-zafiyeti,pytorch,2026-05-15 07:19:44.936211
tr-26-0251-nextcloud-news-gvenlik-zafiyeti,nextcloud,2026-05-15 07:18:05.33581
tr-26-0250-sap-netweaver-application-server-abap-gvenlik-bildirimi,sap,2026-05-15 07:16:36.542156
tr-26-0249-linux-kernel-gvenlik-bildirimi,kernel,2026-05-15 07:15:17.840632
tr-26-0248-wordpress-eklenti-gvenlik-bildirimi,wordpress,2026-05-15 07:11:30.796295
tr-26-0247-microsoft-authenticatorexchange-server-gvenlik-bildirimi,microsoft,2026-05-15 07:08:52.642667
tr-26-0246-frappe-framework-erpnext-gvenlik-zafiyeti,erpnext,2026-05-15 06:53:30.358848
tr-26-0245-hcl-bigfix-gvenlik-bildirimi,hcl,2026-05-15 06:51:29.949091
tr-26-0244-amd-gvenlik-bildirimi,amd,2026-05-15 06:49:16.884553
tr-26-0243-palo-alto-networks-oklu-rn-gvenlik-bildirimi,palo,2026-05-15 06:45:50.637229
tr-26-0242-gitlab-gvenlik-bildirimi-,gitlab,2026-05-15 06:39:54.420182
tr-26-0236-hashicorp-nomad-gvenlik-bildirimi-,hashicorp,2026-05-13 12:37:05.668417
tr-26-0235-deskflow-gvenlik-zafiyeti,deskflow,2026-05-13 12:29:07.81715
tr-26-0234-intel-oklu-rn-gvenlik-bildirimi,intel,2026-05-13 12:26:15.640841
tr-26-0233-adobe-after-effects-gvenlik-bildirimi-,effects,2026-05-13 12:21:33.115629
tr-26-0232-adobe-media-encoder-gvenlik-bildirimi,encoder,2026-05-13 11:56:40.380498
tr-26-0231-mongodb-gvenlik-bildirimi,mongodb,2026-05-13 11:54:04.13543
tr-26-0230-intel-data-center-graphics-driver-gvenlik-bildirimi,intel-r,2026-05-13 11:49:19.168748
